health_zone,lng,lat
Djukwa,30.6198056,2.1258889
Gola,30.8631389,1.9992778
Ngakpa,30.7972778,1.9593333
Bika,30.7182222,2.0236111
Djeikpa I,30.83925,2.0274444
Udoda,30.8116944,1.9397778
Kpalo,30.6785278,1.8416667
Tsokpa,30.7555,1.9063611
Upendji,30.8916667,2.0058889
Muguma,30.9733611,1.9458611
Drakpa,30.8568333,2.0053056
Mokambo,31.045833,2.041667
Gudjo,30.5807222,2.1329167
Ngokoni,30.6571667,2.00675
Loda,30.8928611,1.9949167
Bulo,30.8931389,2.03325
Golo,30.6457778,1.8705278
Ureli,30.8955278,2.0274167
Adja,30.6763056,1.9320556
Aboro,30.86807,1.9946701
Kasselli,30.5961944,1.8775833
Kpambuni,30.5793611,2.0899722
Valo,30.8089167,1.9422778
Arr,30.6074444,1.9138889
Londoni,30.6246389,2.0539444
Longekpa,30.8111111,1.9490833
Talikpa,30.6677778,1.8631111
Laudgu,30.6338333,1.8130778
Djeimbu,30.8433611,2.0256389
Fataki,30.5853056,1.9891778
Jibe,30.6745,1.8603611
Zuka,30.1079722,2.1259167
Kasingwa,30.93575,1.9628889
Kpaya,30.866,2.0331944
Tseka,30.6646667,2.0144167
Jiri,30.6316,1.7922778
Kakabasi,30.1208611,2.1177222
Jamtho,30.9084722,2.0906944
Djupamamba,30.8998889,2.1329444
Mandefu,30.6271667,2.1284444
Bilo,30.6834167,2.0094444
Musaba,30.1047222,2.1161389
Dyago,30.8136389,1.9397222
Dhedda,30.6168,1.8185833
Zanze,30.6393889,2.0710833
Mulio,30.9310833,1.9288056
Ngabikpa,30.80225,1.9435833
Petro,30.6313056,1.8667222
Agenong'A,30.8449444,2.0326667
Ddido,30.6613,1.8141944
Jikpa,30.6612222,1.8587778
Kwandruma,30.8955556,2.0624444
Azida,30.8448889,2.0062778
Kpadha,30.6284,1.78975
Ndena,30.8535278,2.1054722
Walla,30.9301448,2.0500649
Gjoka,30.6963889,1.804167
Ngakpa,30.6124167,2.1182222
Dz'Bu,30.8186111,1.9573611
Mundoo,30.1126389,2.1295278
Ngelengele,30.8975833,2.0851111
Dhena,30.56825,2.0611944
Ngelu,30.7536944,1.9093056
Abubu,30.93,1.9403333
Sola,30.7352222,2.0125278
Mangungu,30.9072222,2.0824167
Lombu,30.6155052,2.1003437
Djupangima,30.8827222,2.1115
Lopa,30.6769167,2.0193889
Vedza,30.7966944,2.0378889
Godjoka,30.7453333,2.0291667
Konga,30.6664722,2.0664167
Ukumu,30.9084722,2.0901389
Dyamba,30.7215833,2.0307222
Mola,30.7896901,2.0625
Kwala,30.7623333,2.0330278
Ukumu,30.6994722,2.0788333
Sanduku,30.6321196,1.996285
Godjya,30.8320499,2.05161
Bseni,30.7722218,1.833056
Lalo,30.564,2.0581389
Djupavangbo,30.9402778,1.9572778
Djeika III,30.8127222,1.9513333
Nyabomba,30.9217778,1.9155833
Uke,30.7562778,1.9071667
Djupambaliko,30.8685833,2.1273056
Dhetsina,30.8269167,2.0473889
Lana,30.5453889,2.1037778
Kidikpa,30.8535278,1.9618056
Loinga,30.8095,1.9493889
Koda,30.90474,2.00032
Longavi,30.8126111,2.0868889
Bula,30.7445556,2.0860556
Buba,30.7976501,2.0223099
Gobu,30.7743589,1.7724222
Yingi,30.9041667,2.0871667
Zambi,30.9104701,2.0461499
Ngombu,30.6922222,2.0175278
Kangalabo,30.1276389,2.1282778
Dada,30.6980611,1.9013889
Kiloba II,30.5823611,2.0739167
Gissi,30.9311944,1.9334167
Djalusene,30.8770801,2.1231101
Thokuyuy,30.8551389,1.9705
R'Kpa,30.8223333,1.9372778
Point,30.8809444,2.0345278
Djupambisi,30.8858333,2.1278611
Dralo,30.5845556,2.1315833
Koro,30.8866667,2.0397222
Tchotum,30.8373056,2.0153611
Lomeya,30.6221347,2.0369103
Dzati,30.5789,2.0108333
Nyotha - Benezeth,30.8602778,1.9981667
Djailo,30.8193056,1.9575
Kpada,30.8604722,1.9736111
Jupumuswa,30.9775556,1.9461389
Lailo,30.8104444,2.0884444
Tembo,30.8432222,2.0263611
Libu,30.7159167,2.0201111
Gengere Pamoth,30.9945278,1.9448056
Lidha Kid,30.5880556,2.1025
Reti,30.8927599,2.09031
Emilio,30.8625278,1.9984444
Libi,30.6220395,2.0442369
Godu,30.8903889,2.0323333
Budza,30.91725,1.9149444
Djaiba,30.6041028,1.9852778
Lotha Kidoko,30.532,2.1344444
Ringe,30.8564722,2.0055278
Budza,30.8167778,2.0875
Atimnedi,30.8899444,2.0129444
Bali,30.7094167,2.0786111
Pakulo,30.9324722,1.9305833
Zasu,30.9098611,2.0973611
Mbuba,30.7945,1.9255556
Kipanya,29.9047223,0.6033334
Bwisegha IV,29.9007832,0.6459333
Musu,29.8678334,0.6141389
Lughali,29.8673056,0.6372222
Matolu,29.8697224,0.6126944
Butuba,29.8823056,0.6375
Nsungu III,29.9506835,0.6200666
Matolu III,29.8809166,0.6222223
Mulembo,29.8738611,0.6229722
Lutalika,29.9191667,0.6322222
Bwisegha,29.9000002,0.6333334
Kombo I,29.8703167,0.59974
Katumiko,29.9191667,0.62
Matolu I,29.8808888,0.6166389
Sangyo,29.8708888,0.6106667
Busingya,29.9252167,0.6342333
Kayenze,29.9085158,0.6465065
Maale,29.8795278,0.6430556
Kisegeta,29.9266667,0.6238889
Musololo,29.93,0.6049999
Ngumwa,29.8505279,0.5722779
Kamango,29.8876252,0.6642657
Kalonge,29.8560557,0.5912499
Bambausu,29.8884722,0.6031667
Kasangali,29.9448054,0.5854444
Solia,29.8459167,0.5672778
Mumio,29.8603833,0.6356667
Nsungu II,29.9457,0.6166833
Vutwandara,29.953111,0.5917778
Kalegha,29.94075,0.6353833
Kisuba,29.8678334,0.6098889
Bwisegha I,29.9048166,0.6459834
Mwaka,29.8740276,0.5967222
Njiangbada,29.8714167,0.6277222
Kikura II,29.9392778,0.6038611
Kisuba,29.9165167,0.6401
Nsungu IV,29.9358166,0.61085
Ngasa,29.8550002,0.5741944
Mbimba,29.9105556,0.6169444
Mabhale,29.9020554,0.6213889
Kakindo,29.8955002,0.6101388
Katswamba,29.9471666,0.5823056
Kaghema I,29.87775,0.63225
Mbimba II,29.9114446,0.6249166
Kalyavakwenda,29.9501389,0.5974167
Kitindula II,29.8909832,0.6389666
Lughali,29.9279,0.6672167
Ndama II,29.8575832,0.5756333
Luanoli,29.9029723,0.6033889
Kiule,29.8772222,0.5993056
Bwisegha II,29.9002183,0.6491452
Bunditombi,29.8571666,0.5805556
Ndegya,29.8797567,0.6019067
Kaghema II,29.8602833,0.63845
Sungu I,29.9394335,0.6018833
Kitindula I,29.8921835,0.6415832
Kaghema II,29.8669167,0.6422778
Musuku,29.9436667,0.5918611
Matunduluko,29.9362167,0.6538667
Nombe,30.26725,1.3565278
Mafifi,29.6928056,1.2195556
Lalo,30.2794441,1.939167
Linzo 2,29.3130985,0.6062766
Koli,30.48692,1.75704
Bembeyi,30.2916111,1.58825
Arava,30.0551944,1.1591944
Pueblo,30.181667,1.332222
Gbadza,30.2302222,1.9961111
Lobu,30.5492778,2.0268611
Dele,30.2709,1.5222222
Kapiteni,30.2485833,1.9823889
Nongo,30.1283333,1.4708333
Pidja,30.5772222,1.6974722
Kakado,30.1244722,1.2224167
Samboko Centre,29.5009444,0.8564167
Dhesukpa Et Ngaliko,30.48581,1.76533
Atokaka,29.6413889,0.8146667
Kyasenda 3,29.70975,0.0461944
Masikini,30.4963,1.9796389
Malehe,29.51424,0.6373
Kagaba,30.2251111,1.2905278
Kisiki,29.5654722,0.759
Kombokabo,30.1076154,1.4692058
Blukwa,30.6023,1.7479167
Opira I,29.6000557,0.7927222
,29.8205776,1.4096114
Muzipela,30.2484356,1.5871441
